id,name,department_id,availability,lat,lon
100177,Спортивный комплекс учреждения социальной защиты населения «Территориальный центр социального обслуживания «Кузьминки»,237336.0,3,55.709506622803936,37.76765800490746
100187,Спортивный комплекс учреждения социальной защиты населения «Центр социального обслуживания района Печатники»,237336.0,3,55.68084753096646,37.71703042728903
100188,Спортивный комплекс учреждения социальной защиты населения «ГБУ ТЦСО Марьино»,237336.0,3,55.65376621903626,37.7438308263127
100193,Дворовая территория,237390.0,4,55.724861702345656,37.91220381229656
100194,Плоскостное спортивное сооружение,237342.0,3,55.815413,37.738045
100196,Спортивный комплекс «Потаповский»,219165.0,3,55.759704,37.643031
100201,Дворовая территория,237380.0,4,55.87374073114985,37.65135044947708
100203,"Парк, особо охраняемая природная территория «Москворецкий»",237335.0,2,55.802818786069984,37.44935844078648
100204,Автодром «Картинг-центр «Форза картинг»»,,2,55.719029,37.681532
100205,"Парк, озелененная городская территория «Северное Тушино»",237332.0,2,55.86107899401639,37.44997636236761
100207,Дворовая территория,237387.0,4,55.82661873346773,37.81513924112656
100212,Автодром «Монако»,,2,55.80463337279091,37.5939693543388
100213,Автодром «РРТ-карт»,,2,55.78849,37.584595
100218,Автодром «Картинг-клуб 21»,,2,55.6743670893618,37.44499845364528
100223,Дворовая территория,237386.0,4,55.7961307609316,37.81067173100739
100225,Дворовая территория,237389.0,4,55.798330773067406,37.783661568968654
100227,Дворовая территория,237385.0,4,55.81703661491211,37.86130385906822
100228,Дворовая территория,237385.0,4,55.818670927946016,37.86169125616213
100231,Дворовая территория,237390.0,4,55.72597671658609,37.85094555341597
100240,Дворовая территория,237386.0,4,55.8023654985542,37.82505200108148
100242,Дворовая территория,237388.0,4,55.755796213346976,37.83061210592594
100244,Дворовая территория,237395.0,4,55.79070868499424,37.71379614496258
100252,Стрелковый клуб «Лабиринт»,,3,55.75635012844108,37.67721511541368
100256,Парк (озелененная городская территория) «Измайловский Парк»,237332.0,1,55.768863439407006,37.75084560284093
